slug,title,wd_label,confidence,qid,burial,lat,lon,order,patronage_wd,image_url,commons,feast_raw,birth_raw,death_raw,source_url,image_license,image_credit
st-cajetan,St. Cajetan,Anton Elfinger,"AMBIGUOUS 2: Q89347,Q97065335",Q89347,,,,,,,Anton Elfinger,,1821-01-15T00:00:00Z,1864-01-19T00:00:00Z,https://www.wikidata.org/wiki/Q89347,,
st-callistus,St. Callistus,Callistus,"AMBIGUOUS 4: Q106613412,Q805281,Q1491470,Q116233937",Q106613412,,,,,,,,,,,https://www.wikidata.org/wiki/Q106613412,,
st-casimir,St. Casimir,Casimir III the Great,"AMBIGUOUS 2: Q53457,Q3219104",Q53457,Sepulchral monument of Casimir III the Great,50.054628,19.935706,,,http://commons.wikimedia.org/wiki/Special:FilePath/Kazimierz%20III%20sarcophagus%20figure.jpg,Casimir III of Poland,,1310-04-30T00:00:00Z,1370-11-05T00:00:00Z,https://www.wikidata.org/wiki/Q53457,public domain,
st-catherine-of-alexandria,St. Catherine of Alexandria,Catherine of Alexandria,label,Q179718,,,,,Dnipro,http://commons.wikimedia.org/wiki/Special:FilePath/Luini.%20Katerina.jpg,Catherine of Alexandria,November 25,0287-01-01T00:00:00Z,0305-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q179718,public domain,
st-catherine-of-siena,St. Catherine of Siena,Catherine of Siena,label,Q229190,Basilica of San Domenico,43.319861111,11.326694444,Third Order of Saint Dominic,Contrada del Drago; Europe; Italy; Nobile Contrada dell'Oca,http://commons.wikimedia.org/wiki/Special:FilePath/Santa%20Catalina%20de%20Siena%2C%20Pedro%20de%20Villegas%20Marmolejo.jpg,Catherine of Siena,April 29,1347-04-02T00:00:00Z,1380-05-07T00:00:00Z,https://www.wikidata.org/wiki/Q229190,needs review: CC BY-SA 4.0,"Jl FilpoC — Wikimedia Commons, CC BY-SA 4.0"
st-cecilia,St. Cecilia,Saint Cecilia,"AMBIGUOUS 2: Q80513,Q23894516",Q80513,Santa Cecilia in Trastevere,41.887555555,12.475891666,,musician,http://commons.wikimedia.org/wiki/Special:FilePath/Giambattista%20Tiepolo%20-%20Saint%20Cecilia%20-%20Google%20Art%20Project.jpg,Saint Cecilia,November 22,0200-01-01T00:00:00Z,0230-11-22T00:00:00Z,https://www.wikidata.org/wiki/Q80513,public domain,
st-charles-borromeo,St. Charles Borromeo,Charles Borromeo,label,Q216946,Milan Cathedral,45.463968,9.190578,,Italy; Lombardy; Sisters of Mercy of St. Borromeo,http://commons.wikimedia.org/wiki/Special:FilePath/Carlo%20Borromeo.jpg,Charles Borromeo,November 4,1538-10-12T00:00:00Z,1584-11-03T00:00:00Z,https://www.wikidata.org/wiki/Q216946,public domain,
st-charles-lwanga-and-companions,St. Charles Lwanga and Companions,Lwanga Charles,label-nostatus,Q135907525,,,,,,,,,2000-02-02T00:00:00Z,,https://www.wikidata.org/wiki/Q135907525,,
st-clare,St. Clare,Clara Peeters,"AMBIGUOUS 4: Q265398,Q4678233,Q55497756,Q107315870",Q265398,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Clara%20Peeters%20-%20Presumed%20self-portrait%20with%20a%20vanitas%20still%20life%20and%20flowers%20in%20a%20glass%20vase.jpg,Clara Peeters,,1587-01-01T00:00:00Z,1657-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q265398,public domain,
st-clement-of-rome,St. Clement of Rome,Clement,label,Q42887,Basilica of San Clemente,41.88929503,12.49756288,,,http://commons.wikimedia.org/wiki/Special:FilePath/Clemens%20Romanus.jpg,Clemens I,November 23,0100-01-01T00:00:00Z,0099-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q42887,public domain,
st-columba,St. Columba,Columba,label,Q236326,Iona,56.33,-6.41,,,http://commons.wikimedia.org/wiki/Special:FilePath/Stained%20Glass%20Window%20in%20St%20Margaret%27s%20Chapel.jpg,Saint Columba,June 9,0521-12-09T00:00:00Z,0597-06-11T00:00:00Z,https://www.wikidata.org/wiki/Q236326,needs review: CC BY-SA 3.0,"MrsEllacott — Wikimedia Commons, CC BY-SA 3.0"
st-cornelius,St. Cornelius,Cornelius the Centurion,"AMBIGUOUS 2: Q435987,Q54798",Q435987,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Baptism%20of%20cornelius.jpg,Cornelius the centurion,February 2,0100-01-01T00:00:00Z,0100-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q435987,public domain,
st-cyprian,St. Cyprian,Cyprian,label,Q190240,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Heiliger%20Cyprianus.jpg,Saint Cyprian,September 16,0200-01-01T00:00:00Z,0258-09-14T00:00:00Z,https://www.wikidata.org/wiki/Q190240,public domain,
st-cyril-and-methodius,St. Cyril (and Methodius),Saint Cyril the Philosopher,label,Q351026,Basilica of San Clemente,41.88929503,12.49756288,,,http://commons.wikimedia.org/wiki/Special:FilePath/Icon%20of%20Saint%20Cyril%2C%20The%20Holy%20Mount%20of%20Grabarka.jpg,Saint Cyril,February 14,0827-01-01T00:00:00Z,0869-02-18T00:00:00Z,https://www.wikidata.org/wiki/Q351026,needs review: CC BY 3.0,"Sławomir Czyż — Wikimedia Commons, CC BY 3.0"
st-cyril-of-alexandria,St. Cyril of Alexandria,Cyril of Alexandria,label,Q44079,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Cyril%20of%20Alexandria%20at%20Catedral%20Ortodoxa%20San%20Jorge.jpg,Cyril of Alexandria,June 27,0376-01-01T00:00:00Z,0444-06-28T00:00:00Z,https://www.wikidata.org/wiki/Q44079,needs review: CC BY 2.0,"Catedrales  e Iglesias/Cathedrals and Churches from Puebla de los Ángeles, Mexico — Wikimedia Commons, CC BY 2.0"
